time,value1,value2,value3,value4
36,-0.011056217,-0.003710449,-0.011780366,0.008815938
37,-0.010547891,0.00201669,-0.003782704,0.044432644
38,0.033676472,-0.003846003,0.008518785,0.029386196
39,0.059431653,-0.003473231,-0.009679286,-0.021107519
40,0.08535628,-0.001609369,-0.014626992,-0.022768052
41,0.06417603,-0.004150999,-0.0102215,-0.048929896
42,0.011479569,0.001305034,-0.010662049,-0.01453317
43,0.009276823,0.002389463,-0.002461057,-0.004773311
44,0.022832183,0.00435499,-0.007510428,-0.013448741
45,0.008937939,0.00879437,0.011128192,0.000309949
46,-0.01885055,0.013369304,0.02387023,-0.011483215
47,0.012157337,0.017334247,0.011365411,0.02653957
48,0.057906676,0.013979295,0.033833418,0.030267294
49,0.06078719,0.015741492,0.024243003,0.014848072
50,0.036218099,0.024315257,0.011602629,0.007324848
51,0.024357161,0.018893113,0.020481391,-0.01643092
52,0.037404194,0.0221464,-0.004121588,-0.01263542
53,0.030118188,0.030787941,-0.001884954,-0.024530249
54,0.030287631,0.023773042,0.005401052,-0.027986865
55,0.003007469,0.021705851,-0.008459304,-0.037035067
56,-0.009022913,0.018554229,-0.007917089,-0.032527912
57,0.013512873,0.022417506,-0.012797019,-0.011008777
58,-0.033930887,0.014284291,-0.018727489,-0.010636005
59,-0.058669418,0.000661154,-0.01340701,0.011425344
60,-0.039183591,0.010048241,0.008756003,0.025217922
61,-0.04951955,0.002253909,0.013127607,0.052057534
62,-0.05189174,0.002084467,0.011128192,0.068967849
63,-0.049688995,0.004761651,0.039865553,0.052938633
64,-0.038844705,-0.008692044,0.011772071,0.048126481
65,0.004871331,-0.001982141,-0.010187612,0.036672201
66,0.026559906,-0.005540423,0.015160912,0.029284531
67,0.042148571,-0.006624852,0.005468829,0.016508603
68,0.049773462,-0.000219944,0.020311948,0.00091994
69,0.024696045,-0.00242269,0.033020098,-0.009178803
70,0.028254326,0.005168311,-0.005646566,-0.010771558
71,0.035709776,0.000186717,-0.013949224,-0.013855402
72,0.012835105,0.003440003,0.00946766,-0.024191365
73,-0.009531239,0.009404361,0.013161495,-0.007382718
74,-0.012411754,0.006117187,0.022955243,-0.004569981
75,-0.033083677,0.00774383,0.011873737,0.007629843
76,-0.022917157,8.51E-05,-0.014931988,0.020507434
77,-0.004278537,0.008929924,0.00184277,-0.007484383
78,-0.006820167,0.011302112,0.015804792,-0.004841088
79,0.022323856,-0.001202708,0.0128565,-0.002231681
80,0.029270979,0.001881137,-0.000190534,-0.021141408
81,0.04384299,-0.000829935,-0.019778028,-0.035781197
82,0.036218099,-0.001033266,-0.002189949,-0.038797263
83,0.045706853,-0.000931601,0.006790476,-0.034561213
84,0.064006589,-0.001812699,-0.017236399,-0.027512427
85,0.043673549,0.001305034,-0.013542564,-0.021310851
86,0.025882138,-0.004557659,-0.024454629,-0.02469969
87,0.015546177,-8.44E-05,-0.031977855,0.003495459
88,0.062312167,-0.000558828,-0.00429103,-0.006128847
89,0.032320935,-0.005879307,-0.011949808,-0.003587217
90,-0.039183591,-0.002998793,-0.022963539,0.031724494
91,-0.048164014,-0.001677145,-0.006900437,0.004241003
92,-0.031219816,0.001779471,0.02387023,0.041450467
93,-0.02732265,-0.003303789,0.021057492,0.02972508
94,-0.031728141,0.000491712,0.004011628,-0.017955899
95,-0.028847627,0.006862732,0.013398714,0.013966974
96,-0.052908391,0.006083298,-0.002732164,-0.025208017
97,-0.021561621,0.008048825,-0.000495529,-0.02578412
98,-0.000550813,0.002762235,0.004824949,-0.018633667
99,-0.024611577,0.010624344,-0.003850481,-0.037340064
100,-0.034947541,0.013098197,0.005739936,-0.009178803
101,-0.044097409,0.004524432,0.007908794,0.00071661
102,-0.029355953,0.006591624,0.022751912,0.009900366
103,-0.014783941,0.003135007,0.012788723,0.005833758
104,-0.021731064,0.005710526,0.002215543,0.014170305
105,-0.024950461,0.007540499,0.042102188,0.012170888
106,-0.009361797,0.004083883,0.042339407,0.016169719
107,0.006565751,5.12E-05,0.025022436,0.021761306
108,0.018765574,-0.002761574,0.028919602,0.006579303
109,0.033845913,0.001677806,0.009738768,0.017288037
110,0.050620671,-0.005438758,0.011331522,-0.007789379
111,0.048248481,-0.004184887,0.029427927,0.000343837
112,0.059092771,-0.0056082,0.006621034,0.011764228
113,0.049604017,-0.017503029,-0.028487347,-0.017040912
114,0.030118188,-0.014453072,-0.027030146,0.002580472
115,0.048248481,-0.012555322,-0.007069879,0.006342084
116,-4.25E-05,-0.004727101,0.008078236,-0.003282221
117,-0.04426685,0.004117771,0.002656092,-0.000808368
118,-0.044775177,0.001033927,-0.022251882,-0.004603869
119,-0.034439214,-0.004794878,-0.030385097,0.003563235
120,-0.022578273,-0.002083806,-0.002291615,0.011391455
121,-0.020036643,0.003914441,0.021294711,0.018508019
122,-0.012920079,-0.00242269,-0.006222669,0.028810093
123,-0.008684029,-0.002659909,-0.004189365,0.031385612
124,0.019782227,0.000288382,-0.000597195,0.035723329
125,0.036556985,0.000220605,-0.028148463,0.025116257
126,0.076545298,0.006354406,-0.013542564,0.015288622
127,0.077900834,0.009743245,-0.028555125,0.013390872
128,0.050959554,0.005676637,-0.045973763,-0.006874392
129,0.088745117,0.006388294,-0.025403503,-0.006366066
130,0.078917488,0.007608276,-0.02865679,-0.018057564
131,0.052484531,0.002491128,-0.032316737,-0.020768637
132,0.052992858,0.007133839,-0.0078832,-0.004603869
133,0.067734316,0.00455832,0.009230441,-0.012262648
134,0.063159376,-0.001812699,0.012449839,-0.007314941
135,0.04384299,0.004829427,0.025869645,-0.014465393
136,0.048248481,0.005710526,0.008112124,-0.010161567
137,0.045029085,0.005812191,0.009840433,-0.003383887
138,0.085017398,0.013572634,0.029427927,0.00579987
139,0.05468728,0.0089977,0.022175809,0.006037089
140,0.016223945,0.006557736,0.01963418,-0.02026031
141,0.050281785,0.017130917,-0.000292199,0.00515599
142,0.036556985,0.011336001,0.003740521,-0.002807784
143,0.019273901,0.010014352,0.012077067,-0.01582093
144,-0.039691914,0.016588703,0.006519369,0.016983042
145,-0.059008304,0.015504274,0.001300556,0.013526425
146,-0.0759525,0.017605355,-0.00747654,0.02782733
147,-0.101538248,0.017435912,0.006688811,0.039146055
148,-0.09103284,0.014792617,0.008315454,0.002004369
149,-0.108485371,0.013335416,0.008722115,0.009425929
150,-0.068666495,0.015300943,-0.00154607,0.054836385
151,-0.054941695,0.012013768,-0.017134733,0.03568944
152,-0.042233545,0.012250987,-0.006188781,0.027386781
153,-0.005295189,0.012352652,0.003130529,0.041043807
154,0.017918365,0.008692705,0.014449255,0.027691776
155,0.028762653,0.013572634,0.001503886,0.048465364
156,0.036895867,0.007337169,-0.002494945,0.042602673
157,0.042656898,0.005778302,0.023124686,0.01467863
158,0.020968322,0.006964397,0.018990301,-0.001215029
159,0.052484531,0.002084467,0.005333276,-0.017888121
160,0.048248481,0.002525016,0.003740521,-0.016803693
161,0.029101538,-0.000626605,0.008722115,-0.013584295
162,0.033168145,0.004931093,0.018210867,-0.002062239
163,0.025373813,0.006794955,0.03169845,0.000682721
164,0.053670626,-0.000389386,0.01434759,-0.003824436
165,0.041301362,-0.002592132,0.004723284,-0.00182502
166,0.015207293,0.000288382,0.035155069,0.0144753
167,0.021137763,0.003609445,0.03149512,0.01467863
168,0.043334667,0.001779471,0.010924862,-0.007823267
169,0.066548221,-0.002897128,-0.007984865,-0.013753737
170,0.046045735,-0.005845419,-0.001884954,-0.027037989
171,0.016901713,0.000457824,0.016652001,-0.02639411
172,-0.010886775,0.000457824,-0.002122173,-0.026360221
173,-0.013089521,-0.003405454,-0.025742387,-0.037577283
174,-0.006311841,-0.003100458,-0.024895178,-0.038017832
175,-0.036133632,-0.007777058,-0.003681039,-0.047269363
176,-0.060194395,-0.008048165,-0.011136487,-0.035001762
177,-0.070530362,-0.010454241,-0.021709668,-0.005044418
178,-0.062905468,-0.012690876,-0.019947471,0.021117426
179,-0.047316805,-0.008895375,-0.025640722,0.030945063
180,-0.04426685,-0.010149245,-0.013169791,0.015254733
181,-0.036472518,-0.008929263,-0.001444405,0.002512695
182,-0.016478362,-0.008387049,-0.008086531,0.00749429
183,0.024865488,-0.005675977,-0.044042122,-0.002841672
184,0.081628554,0.001542253,-0.03035121,-0.040491685
185,0.078239717,0.00350778,0.018210867,-0.044083856
186,0.04384299,0.005100535,0.00458773,-0.039983358
187,0.072139807,0.002796124,-0.007950977,-0.047540471
188,0.096878335,0.005676637,-0.010390942,-0.025818007
189,0.049265135,0.010522678,0.000216127,-0.037238397
190,0.000465839,0.008557151,0.022718025,-0.049539886
191,-0.026305998,0.00984491,0.016923109,-0.020429753
192,-0.047486246,0.008116602,0.00946766,0.007968727
193,-0.056636114,0.008218267,0.00502828,0.026505683
194,-0.078155249,0.007845495,0.017736429,0.018169135
195,-0.06324435,0.001711695,0.030275138,0.033927243
196,-0.033422559,0.002321686,0.016956996,0.036536649
197,-0.032236468,0.001237257,0.012415951,0.013797532
198,-0.025458787,-0.001101043,0.022853578,0.023421837
199,-0.011733986,-0.00262602,0.029461816,0.00939204
200,-0.030203164,-0.007336508,0.026344083,-0.001282806
201,-0.030542048,-0.009437589,0.004994391,-0.003892213
202,0.000635281,-0.007438174,-0.013847559,-0.00775549
203,-0.030711489,-0.003337677,0.007061584,-0.012974304
204,-0.029694837,-0.009505366,0.015872568,-0.014872055
205,-0.036303077,-0.012995871,-0.015813086,0.006375973
206,-0.052400064,-0.011674223,-0.021133564,0.003563235
207,-0.026983766,-0.018146908,-0.002901606,0.015254733
208,-0.02986428,-0.011504781,-0.005341571,0.034842227
209,0.008429613,-0.00411711,0.01668589,0.041247137
210,0.006396309,-0.00432044,0.026750743,0.037824407
211,-0.013258963,0.002931677,-0.015067541,0.029589526
212,0.026221022,0.00096615,-0.006154892,0.023252396
213,0.046554063,-0.000897712,0.027326846,0.00281769
214,0.041131917,0.000932261,0.002927199,-0.005451079
215,0.038759731,-0.006285968,-0.038992751,-0.033442896
216,0.045876294,-0.003473231,-0.038484424,-0.03466288
217,0.05231509,0.004016106,-0.018829154,-0.007619937
218,0.056042816,0.002423351,-0.021065788,-0.026326334
219,0.046554063,0.001779471,-0.026386267,-0.02639411
220,0.036726426,0.00625274,-0.028046798,0.004986548
221,0.001990817,0.009912687,-0.038518313,0.013289206
222,0.026390465,0.005269977,-0.018185275,0.025455141
223,0.059431653,-0.001541592,0.015770903,0.027793441
224,0.036048658,0.000898373,0.001063337,0.004342669
225,0.044181876,0.00032227,-0.003511597,0.013289206
226,0.041470803,-0.003134347,0.010721531,0.0159325
227,0.08332298,-0.002558244,0.000114462,-6.28E-05
228,0.080781348,-0.008454826,0.017566988,-0.016532585
229,0.051467881,-0.007336508,0.039594449,-0.035035651
230,0.043165222,-0.000152167,0.007400468,-0.033137903
231,0.019951669,-0.000762159,-0.002257726,-0.010229344
232,0.021815531,0.002084467,0.009196553,-0.004197208
233,-0.016986687,0.007676053,0.00268998,-0.011889875
234,-0.037997495,0.001915025,0.009942098,0.022608517
235,-0.047994573,0.00116948,0.017194215,0.020676877
236,-0.045791827,0.008319933,0.00353719,0.007799285
237,-0.089168981,0.00669329,-0.014728657,0.026709013
238,-0.091880053,0.011166559,0.007231026,0.020405769
239,-0.037150286,0.01408096,0.008993222,0.044195428
240,-0.043589082,0.012386541,0.002554427,0.050668113
241,-0.01563115,0.018960889,0.017905872,0.00410545
242,-0.01715613,0.019401439,-0.005443236,-0.015380381
243,0.006735193,0.012759313,-0.005849896,-0.020938078
244,0.060956635,0.012013768,0.00163944,-0.021988619
245,0.070106499,0.010116017,-0.005680454,-0.014465393
246,0.036218099,0.005303865,-0.019676363,-0.029003518
247,0.000974165,0.006083298,-0.011136487,-0.023954146
248,0.006057425,0.004422767,0.007908794,-0.003688882
249,-0.003092443,0.00350778,-0.020557461,0.013661979
250,-0.018172782,0.004049994,-0.00981484,0.021998525
251,-0.073580317,-0.004184887,0.004994391,0.01427197
252,-0.07629139,-0.006963736,0.001063337,0.027285116
253,-0.030203164,-0.005133762,0.022853578,0.014949738
254,-0.025119903,-0.011877554,0.036917266,0.014983626
255,-0.012920079,-0.010793125,0.024243003,0.025794026
256,-0.009022913,-0.006252079,0.022040257,0.008815938
257,0.027237674,-0.006590963,0.036070053,0.014373635
258,0.060448308,-0.002524355,0.026682967,0.003563235
259,0.063837148,-0.0032699,0.018041424,0.000343837
260,0.042318013,-0.006760405,-0.005443236,-0.000876145
261,0.008260171,-0.001236596,-0.008696523,-0.012770973
262,0.013343431,0.0028639,0.007841017,0.011459232
263,0.000465839,-0.002456579,0.001368333,0.007595955
264,-0.010209007,-0.000423275,0.001774993,-0.018396448
265,-0.029525395,0.004524432,-0.011678701,0.001258824
266,-0.043250196,0.002830012,-0.026996259,0.005257655
267,-0.034608655,0.001000038,0.005434941,0.006782633
268,-0.038336378,-0.00157548,0.016584225,0.006918187
269,-0.018511666,-0.00496432,-0.013542564,-0.030155722
270,-0.013597847,-0.007878723,-0.005341571,-0.006772727
271,0.009615707,-0.002490467,-0.018185275,-0.008806031
272,0.049942903,-0.002863239,-0.022895763,-0.027647981
273,0.063837148,-0.00137215,0.002418873,-0.029274624
274,0.075528644,0.006930508,-0.033875603,-0.059638631
275,0.082306325,0.004761651,-0.046549864,-0.027004102
276,0.075867526,0.005676637,-0.006697107,-0.021717511
277,0.062312167,-0.000592717,-0.014728657,-0.033036236
278,0.058245562,-0.000626605,-0.022658544,-0.016837582
279,0.029440422,0.006320517,0.013229272,-0.001316694
280,0.004193563,0.002423351,0.004723284,0.010002031
281,-0.011903428,0.002457239,-0.00832375,0.004715441
282,-0.050536204,0.000220605,0.015093135,0.014373635
283,-0.070869245,0.001982802,0.02495466,0.00176715
284,-0.075613618,0.0028639,0.014686474,0.00705374
285,-0.072902545,0.001982802,0.018515863,0.00769762
286,-0.070869245,0.00604941,0.034240082,-0.004671646
287,-0.067141518,0.004829427,0.014584809,0.000445502
288,-0.064430445,0.005100535,0.006180485,-0.011245996
289,-0.041725218,0.004524432,0.003808297,-0.017108688
290,-0.011225659,-0.000287721,-0.008154307,-0.034730658
291,-0.048841782,0.001271145,0.002012212,-0.037475616
292,-0.058669418,0.008523263,0.016347006,-0.033409011
293,-0.042741872,0.00774383,0.011738183,-0.030054057
294,-0.045791827,0.000864485,-0.005409347,-0.021514181
295,-0.035455864,0.000288382,0.008891557,-0.021649735
296,-0.036980845,-1.66E-05,0.022582471,0.003800454
297,-0.018511666,-0.001067154,0.02810628,0.013119764
298,-0.002753559,-0.003100458,0.023565235,0.016373051
299,0.040962476,-0.010555906,0.003638855,0.001868815
300,0.067903757,-0.010793125,0.010416536,-0.016769804
301,0.044859644,-0.012656987,0.00882378,0.008375388
302,0.044181876,-0.015673054,-0.007984865,0.011357567
303,0.040623594,-0.012013108,-0.012966461,0.008612607
304,0.05231509,-0.009064817,-0.020693015,0.005528762
305,0.047570717,-0.005133762,-0.03479059,-0.009178803
306,0.033337586,-0.00645541,-0.034960032,-0.001079476
307,0.001143607,-0.002388802,-0.03201174,0.001699373
308,-0.037828054,-0.001338261,-0.020116912,-0.003112779
309,-0.033083677,-0.006116526,-0.020557461,0.009358152
310,-0.036472518,-0.00157548,-0.035366692,0.017626921
311,-0.063413799,-0.005472646,-0.017914167,0.036739979
312,-0.071547009,-0.003947668,-0.017405841,0.036604427
313,-0.024611577,-0.000152167,-0.016118081,0.01976189
314,-0.014445057,-0.005032097,-0.004324919,0.035181113
315,0.013512873,-0.001846587,-0.017507507,0.026946232
316,0.038081963,-0.004218775,-0.0163553,0.01725415
317,0.026729349,-0.002761574,-0.006934325,-0.003824436
318,0.071123153,-0.002321025,0.001097225,-0.026834659
319,0.090778425,-0.009302035,-0.001274963,-0.024225254
320,0.105858766,-0.009742585,-0.019134149,-0.045846052
321,0.09382838,-0.006963736,-0.02655571,-0.05201374
322,0.05045123,-0.002863239,-0.017880278,-0.053809825
323,0.027407117,-0.007980388,0.003503302,-0.046727151
324,0.027915442,-0.001406038,0.016448671,-0.014092621
325,0.036726426,0.00709995,0.013737598,-0.001858909
326,0.019782227,0.006117187,0.01499147,-0.001723355
327,0.026559906,0.009980464,0.015906457,0.00918871
328,0.033337586,0.00859104,0.029495705,0.038366623
329,0.061634399,0.013064309,0.043152731,0.044703752
330,0.073495343,0.015233167,0.016923109,0.017288037
331,0.035709776,0.015402609,0.010484312,0.010713688
332,0.041131917,0.015538162,0.005841601,0.006308196
333,0.018596133,0.010454901,-0.006222669,0.006952075
334,0.000974165,0.014521509,0.009874321,0.008172058
335,0.006057425,0.018723672,-0.014321997,-0.017752569
336,-0.010717333,0.015538162,-0.022353547,0.000614944
337,-0.0230866,0.010793786,-0.007340986,0.018779127
338,-0.052569509,0.007133839,-0.011983697,0.01511918
339,-0.055450022,0.002423351,-0.003952146,0.031521164
340,-0.067649849,0.004727762,-0.005646566,0.028471209
341,-0.079002462,0.003372226,-0.002156061,0.05385362
342,-0.084255159,-0.006760405,-0.001308851,0.07679607
343,-0.09323559,-0.00221936,0.00418107,0.062088501
344,-0.072563663,-0.003574896,0.009569325,0.050769776
345,-0.064261004,-0.00262602,-0.013644229,0.035113335
346,-0.029694837,0.000254493,-0.001851065,0.030538402
347,-0.012750637,-0.009607031,0.001741105,0.017830251
348,0.005887983,0.000627266,-0.013271457,-0.000842257
349,0.02689879,0.00415166,0.021091381,-0.007653825
350,0.011140685,-0.002897128,0.016618112,-0.012737085
351,0.025373813,-0.005337093,-0.014694769,-0.019514766
352,0.046723504,-0.00432044,0.001978324,-0.027376873
353,0.045029085,0.001677806,0.000622788,-0.018159229
354,0.007751845,-0.000186056,-0.015440314,-0.011212107
355,-4.25E-05,0.002389463,0.004621619,-0.001215029
356,0.01842669,-0.001270485,0.017939759,0.020236328
357,0.014698966,-0.006048749,0.003367748,0.00854483
358,-0.011903428,0.000932261,0.000588899,-0.013279299
359,-0.004956305,-0.000796047,-0.010187612,-0.021039743
360,0.051976208,-0.002592132,-0.015677532,-0.033239566
361,0.037234753,0.003202784,0.000521123,-0.037407842
362,0.002668585,-0.001982141,-0.01001817,-0.052894838
363,-0.010886775,-0.005032097,-0.016456965,-0.072109565
364,-0.003939653,-0.003981557,-0.025403503,-0.064213566
365,0.034523681,-0.007844835,-0.037162777,-0.053606495
366,0.01842669,-0.008183718,-0.022692431,-0.045778275
367,-0.008175703,-0.00879371,-0.013678117,-0.032799017
368,-0.013936731,-0.004862655,-0.024759624,-0.002977226
369,-0.007328493,-0.005133762,-0.017643061,0.013797532
370,-0.000550813,-0.008692044,0.007027695,0.004173227
371,0.005718541,-0.009573143,-0.018591935,-0.000605038
372,0.008937939,-0.005845419,-0.00259661,0.001326601
373,0.002668585,0.001745583,0.030410692,0.022879623
374,0.058753885,-0.001507703,-0.000326087,0.022676293
375,0.085525721,-0.000863824,0.000656676,-0.007179387
376,0.061126076,0.007879384,-0.010492607,-0.036289524
377,0.030287631,0.010624344,-0.016626408,-0.047404919
378,0.000296397,0.011403777,0.014720363,-0.022463055
379,0.004363005,0.015673716,0.01749921,-0.019785872
380,-0.016986687,0.016588703,0.001537775,-0.034493439
381,-0.04426685,0.018147569,-0.009543732,-0.024970798
382,-0.066802636,0.018893113,-0.006697107,-0.010026013
383,-0.05612779,0.011268224,-0.001274963,0.001665485
384,-0.047316805,0.007133839,0.014720363,0.025861802
385,-0.036980845,0.007608276,0.018176978,0.027962884
386,0.006396309,0.010421013,-0.000766637,0.012814769
387,0.014360083,0.008082714,0.010043763,0.032165043
388,0.031982049,-0.000355498,0.037222259,0.024777373
389,0.014190641,-0.002049918,0.029699035,0.024336824
390,0.024357161,-0.002998793,0.007502133,0.034571122
391,0.041131917,-0.005269316,0.006485481,0.024845151
392,0.018257249,-0.008624268,-0.009069295,0.034672786
393,0.041470803,-0.014385295,-0.023370199,0.015830835
394,0.018257249,-0.016384711,-0.001105521,0.021930749
395,0.007582403,-0.015876384,0.004994391,0.033113919
396,0.003176911,-0.011640335,-0.013373122,0.032503929
397,-0.006989609,-0.010928678,-0.004494361,0.040569369
398,-0.024272693,-0.006353745,0.007231026,0.029589526
399,-0.060024954,-0.002490467,-0.010119835,0.041721575
400,-0.043589082,-0.007743169,-0.007645982,0.037282195
401,-0.043589082,-0.003168235,-0.004663803,0.039417163
402,-0.031219816,-0.003168235,-0.015779197,0.026675124
403,-0.020036643,0.000152828,-0.014491439,-0.004095543
404,0.014021199,0.008387709,-0.00981484,-2.89E-05
405,0.056890026,0.002152244,-0.029029563,-0.008568812
406,0.089422889,0.00011894,-0.043771017,-0.02046364
407,0.076206416,0.002694458,-0.008120419,-0.024428584
408,0.033168145,0.00266057,-0.014423662,-0.034391772
409,0.072309248,0.004863316,-0.030690094,-0.057944212
410,0.056890026,0.007540499,-0.021235229,-0.051912077
411,0.047740158,0.006625513,-0.031469528,-0.039983358
412,0.026221022,0.002897789,-0.006493776,-0.025004687
413,0.021137763,0.001000038,0.012754835,-0.009111026
414,0.067734316,-5.05E-05,-0.009408179,-0.034798432
415,0.069767617,-0.000863824,-0.01425422,-0.01792201
416,0.090608984,-0.001914364,0.026174642,-0.016837582
417,0.064006589,-0.004455994,0.023734676,-0.014736501
418,0.068920404,-0.004794878,0.00248665,0.021388534
419,0.072817571,-0.002388802,0.025327431,-0.003045003
420,0.075528644,0.000423935,0.013568156,-0.013787625
421,0.078239717,0.003575557,0.011026527,-0.005552744
422,0.01842669,0.001576141,0.030919017,-0.007382718
423,0.001313049,0.000390047,-0.003003271,0.007934839
424,-0.016986687,0.005744414,-0.040144958,0.021354645
425,-0.012581195,0.003033342,-0.006730995,0.010171473
426,-0.045452945,0.000932261,0.010687643,0.030402848
427,-0.09526889,0.007913272,-0.001851065,0.053887509
428,-0.100691035,0.009065477,4.67E-05,0.033791687
429,-0.099674381,0.006998285,-0.017236399,0.058259115
430,-0.087135673,0.009506026,4.67E-05,0.048905913
431,-0.1098409,0.007642165,0.006451593,0.032402262
432,-0.086457908,0.00604941,-0.005036575,0.045415409
433,-0.036472518,0.010692121,-0.006324334,0.017084707
434,-0.012411754,0.00669329,-0.031435639,0.018169135
435,0.008429613,0.00540553,-0.010797603,0.012916434
436,0.010124032,0.008963812,0.006112709,0.016847488
437,0.017071154,0.004049994,-0.00578212,0.015186956
438,0.013851757,0.004863316,-0.022658544,-0.010669893
439,0.006735193,-0.00072827,-0.02252299,0.006172642
440,0.011818453,-0.007370397,0.005265499,-0.002333346
441,-0.011056217,0.000695043,0.015635349,0.003936008
442,-0.030542048,0.000661154,0.03532451,0.022947401
443,-0.021053296,-0.002151583,0.01539813,0.012916434
444,0.014021199,-0.003879891,0.016177563,0.018914681
445,0.046892948,-0.005032097,0.036713935,0.008443165
446,0.052992858,-0.002354913,0.006790476,4.95E-06
447,0.041131917,-0.005201539,0.002791645,-0.004264985
448,0.032829262,-0.005032097,0.008552673,-0.017040912
449,0.046384621,-0.002998793,0.006282151,-0.014465393
450,0.031304281,-0.004693213,-0.004121588,-0.018532002
451,0.011649011,-0.000558828,-0.005307682,-0.037950054
452,0.006057425,0.000152828,-0.023980191,-0.044456627
453,-0.012920079,-0.004286552,-0.01594864,-0.032087363
454,-0.0368114,-8.44E-05,0.021633595,-0.039203927
455,-0.034269772,0.000661154,-0.010424831,-0.048082687
456,-0.052400064,-0.000355498,-0.031096755,-0.043270532
457,-0.090524517,-0.004388217,-0.026454045,-0.054453705
458,-0.079849668,-0.009437589,-0.017541396,-0.027783535
459,-0.074935853,-0.00686207,-0.000292199,0.006952075
460,-0.034439214,-0.006150414,0.008281566,-0.004400539
461,-0.001736907,-0.004998208,-0.015609756,0.001868815
462,-0.001906349,-0.005743753,-0.028792344,-0.001994462
463,0.011140685,-0.004557659,0.00756991,-0.005078307
464,0.027068233,-0.003846003,-0.01001817,-0.019887537
465,0.090100653,-0.004388217,-0.028927896,-0.049980436
466,0.078070275,-0.000863824,-0.015677532,-0.049438223
467,0.052653976,0.00371111,-0.019845806,-0.065433547
468,0.066887103,0.005100535,-0.013271457,-0.04354164
469,0.037912522,0.003744999,-0.005070463,-0.038560048
470,0.033337586,0.001610029,-0.009137072,-0.040898345
471,0.001482491,0.003168896,-0.011882032,-0.011652656
472,-0.026983766,0.006151075,0.014178148,-0.017074801
473,-0.037828054,0.005066646,0.040272217,0.019423006
474,-0.0452835,0.015538162,0.029089043,0.030877287
475,-0.049011227,0.01408096,0.006587146,0.018304689
476,-0.07205534,0.007811606,0.005096056,0.029657302
477,-0.060194395,0.011640996,0.008078236,0.008409277
478,-0.064938776,0.000762819,0.016414782,0.001597708
479,-0.038505822,0.003372226,0.018041424,-0.001486136
480,-0.016986687,0.009878799,0.005536606,0.003732677
481,-0.035625309,8.51E-05,0.015025358,0.018203024
482,-0.052230623,-0.002083806,0.001063337,0.009832589
483,-0.04426685,-0.004693213,0.000250015,0.029081201
484,-0.016478362,-0.009471477,0.0043844,0.033385027
485,-0.046639036,-0.008217607,-0.011848143,0.026573459
486,-0.025797671,-0.005574312,0.001741105,0.04558485
487,-0.014106173,-0.007268731,-0.001105521,0.030538402
488,0.005718541,-0.014114188,0.009704879,0.039891601
489,0.026221022,-0.011742,0.014550921,0.05808967
490,0.015376735,-0.006929847,0.003503302,0.039010502
491,0.07061483,-0.006082637,0.008146012,0.026234575
492,0.072987013,-0.005540423,0.009196553,0.020066885
493,0.073325902,-0.005303204,0.005265499,0.008714272
494,0.067903757,-0.001880476,-0.017371953,-0.02066697
495,0.076375857,-0.000965489,-0.017914167,-0.026156891
496,0.079425812,5.12E-05,-0.022285771,-0.035442311
497,0.046723504,0.001677806,-0.017100845,-0.055809241
498,0.037912522,0.002592793,-0.015203095,-0.047066033
499,-0.001059139,0.000288382,-0.045872096,-0.027410762
